Tarih,NoktaAdi,ParametreAdiRaw,ParametreAdi,Birim,DegerRaw,Deger,DegerCensor,DegerLimit
2025-02-19,8819 Sok. No:13 Egekent - ÇİĞLİ,C.perfringens,C.Perfringens,Sayı/100 ml,0,0.0,,0.0
2025-02-19,8819 Sok. No:13 Egekent - ÇİĞLİ,Demir (Fe),Demir,μg/L,"14,0",14.0,,14.0
2025-02-19,8819 Sok. No:13 Egekent - ÇİĞLİ,E.coli,E.Coli,Sayı/100 ml,0,0.0,,0.0
2025-02-19,8819 Sok. No:13 Egekent - ÇİĞLİ,Klorür (Cl⁻),Klorür,mg/L,41,41.0,,41.0
2025-02-19,8819 Sok. No:13 Egekent - ÇİĞLİ,Koku,Koku,nan,UYGUN,,ND,
2025-02-19,8819 Sok. No:13 Egekent - ÇİĞLİ,Koliform Bakteri,Koliform Bakteri,nan,0,0.0,,0.0
2025-02-19,8819 Sok. No:13 Egekent - ÇİĞLİ,Nitrit (NO₂),Nitrit,mg/L,<0.13,0.065,<,0.13
2025-02-19,8819 Sok. No:13 Egekent - ÇİĞLİ,Oksitlenebilirlik,Oksitlenebilirlik,mg/L O2,"0,6",0.6,,0.6
2025-02-19,8819 Sok. No:13 Egekent - ÇİĞLİ,Renk,Renk,nan,UYGUN,,ND,
2025-02-19,8819 Sok. No:13 Egekent - ÇİĞLİ,Toplam sertlik,Toplam Sertlik,Fr,31,31.0,,31.0
2025-02-19,8819 Sok. No:13 Egekent - ÇİĞLİ,Tuzluluk,Tuzluluk,%0,"0,1",0.1,,0.1
2025-02-19,8819 Sok. No:13 Egekent - ÇİĞLİ,pH,pH,nan,"7,3 (24 °C)",7.3,,7.3
2025-02-19,8819 Sok. No:13 Egekent - ÇİĞLİ,İletkenlik,İletkenlik,μS/cm,700 (25 °C),700.0,,700.0
2025-02-19,A.hatboyu Cd. İle 545 Sok.. Kvs. Akıncılar - BUCA,Alüminyum (Al),Alüminyum,μg/L,"14,19",14.19,,14.19
2025-02-19,A.hatboyu Cd. İle 545 Sok.. Kvs. Akıncılar - BUCA,Amonyum (NH₄⁺),Amonyum,mg/L,<0.06,0.03,<,0.06
2025-02-19,A.hatboyu Cd. İle 545 Sok.. Kvs. Akıncılar - BUCA,Arsenik (As),Arsenik,μg/L,"1,00",1.0,,1.0
2025-02-19,A.hatboyu Cd. İle 545 Sok.. Kvs. Akıncılar - BUCA,Bulanıklık,Bulanıklık,nan,UYGUN,,ND,
2025-02-19,A.hatboyu Cd. İle 545 Sok.. Kvs. Akıncılar - BUCA,C.perfringens,C.Perfringens,Sayı/100 ml,0,0.0,,0.0
2025-02-19,A.hatboyu Cd. İle 545 Sok.. Kvs. Akıncılar - BUCA,Demir (Fe),Demir,μg/L,"92,43",92.43,,92.43
2025-02-19,A.hatboyu Cd. İle 545 Sok.. Kvs. Akıncılar - BUCA,E.coli,E.Coli,Sayı/100 ml,0,0.0,,0.0
2025-02-19,A.hatboyu Cd. İle 545 Sok.. Kvs. Akıncılar - BUCA,Klorür (Cl⁻),Klorür,mg/L,51,51.0,,51.0
2025-02-19,A.hatboyu Cd. İle 545 Sok.. Kvs. Akıncılar - BUCA,Koku,Koku,nan,UYGUN,,ND,
2025-02-19,A.hatboyu Cd. İle 545 Sok.. Kvs. Akıncılar - BUCA,Koliform Bakteri,Koliform Bakteri,nan,0,0.0,,0.0
2025-02-19,A.hatboyu Cd. İle 545 Sok.. Kvs. Akıncılar - BUCA,Nitrit (NO₂),Nitrit,mg/L,<0.13,0.065,<,0.13
2025-02-19,A.hatboyu Cd. İle 545 Sok.. Kvs. Akıncılar - BUCA,Oksitlenebilirlik,Oksitlenebilirlik,mg/L O2,"0,4",0.4,,0.4
2025-02-19,A.hatboyu Cd. İle 545 Sok.. Kvs. Akıncılar - BUCA,Renk,Renk,nan,UYGUN,,ND,
2025-02-19,A.hatboyu Cd. İle 545 Sok.. Kvs. Akıncılar - BUCA,Toplam sertlik,Toplam Sertlik,Fr,25,25.0,,25.0
2025-02-19,A.hatboyu Cd. İle 545 Sok.. Kvs. Akıncılar - BUCA,Tuzluluk,Tuzluluk,%0,0,0.0,,0.0
2025-02-19,A.hatboyu Cd. İle 545 Sok.. Kvs. Akıncılar - BUCA,pH,pH,nan,"7,3 (24 °C)",7.3,,7.3
2025-02-19,A.hatboyu Cd. İle 545 Sok.. Kvs. Akıncılar - BUCA,İletkenlik,İletkenlik,μS/cm,515 (25 °C),515.0,,515.0
2025-02-19,Alsancak Gar Önü - KONAK,Alüminyum (Al),Alüminyum,μg/L,0.83,0.83,,0.83
2025-02-19,Alsancak Gar Önü - KONAK,Amonyum (NH₄⁺),Amonyum,mg/L,<0.06,0.03,<,0.06
2025-02-19,Alsancak Gar Önü - KONAK,Arsenik (As),Arsenik,μg/L,7.05,7.05,,7.05
2025-02-19,Alsancak Gar Önü - KONAK,Bulanıklık,Bulanıklık,nan,0.4,0.4,,0.4
2025-02-19,Alsancak Gar Önü - KONAK,C.perfringens,C.Perfringens,Sayı/100 ml,0,0.0,,0.0
2025-02-19,Alsancak Gar Önü - KONAK,Demir (Fe),Demir,μg/L,17.61,17.61,,17.61
2025-02-19,Alsancak Gar Önü - KONAK,E.coli,E.Coli,Sayı/100 ml,0,0.0,,0.0
2025-02-19,Alsancak Gar Önü - KONAK,Klorür (Cl⁻),Klorür,mg/L,30,30.0,,30.0
2025-02-19,Alsancak Gar Önü - KONAK,Koku,Koku,nan,0,0.0,,0.0
2025-02-19,Alsancak Gar Önü - KONAK,Koliform Bakteri,Koliform Bakteri,nan,0,0.0,,0.0
2025-02-19,Alsancak Gar Önü - KONAK,Nitrit (NO₂),Nitrit,mg/L,<0.13,0.065,<,0.13
2025-02-19,Alsancak Gar Önü - KONAK,Oksitlenebilirlik,Oksitlenebilirlik,mg/L O2,0.6,0.6,,0.6
2025-02-19,Alsancak Gar Önü - KONAK,Renk,Renk,nan,0,0.0,,0.0
2025-02-19,Alsancak Gar Önü - KONAK,Tat,Tat,nan,0,0.0,,0.0
2025-02-19,Alsancak Gar Önü - KONAK,Toplam sertlik,Toplam Sertlik,Fr,33,33.0,,33.0
2025-02-19,Alsancak Gar Önü - KONAK,Tuzluluk,Tuzluluk,%0,0.1,0.1,,0.1
2025-02-19,Alsancak Gar Önü - KONAK,pH,pH,nan,7.4 (24 °C),7.4,,7.4
2025-02-19,Alsancak Gar Önü - KONAK,İletkenlik,İletkenlik,μS/cm,695 (25 °C),695.0,,695.0
2025-02-19,Altan Aydin İle 4165 Sok.. Kvs Aktepe - GAZİEMİR,Alüminyum (Al),Alüminyum,μg/L,"15,92",15.92,,15.92
2025-02-19,Altan Aydin İle 4165 Sok.. Kvs Aktepe - GAZİEMİR,Amonyum (NH₄⁺),Amonyum,mg/L,<0.06,0.03,<,0.06
2025-02-19,Altan Aydin İle 4165 Sok.. Kvs Aktepe - GAZİEMİR,Arsenik (As),Arsenik,μg/L,"0,85",0.85,,0.85
2025-02-19,Altan Aydin İle 4165 Sok.. Kvs Aktepe - GAZİEMİR,Bulanıklık,Bulanıklık,nan,UYGUN,,ND,
2025-02-19,Altan Aydin İle 4165 Sok.. Kvs Aktepe - GAZİEMİR,C.perfringens,C.Perfringens,Sayı/100 ml,0,0.0,,0.0
2025-02-19,Altan Aydin İle 4165 Sok.. Kvs Aktepe - GAZİEMİR,Demir (Fe),Demir,μg/L,"87,87",87.87,,87.87
2025-02-19,Altan Aydin İle 4165 Sok.. Kvs Aktepe - GAZİEMİR,E.coli,E.Coli,Sayı/100 ml,0,0.0,,0.0
2025-02-19,Altan Aydin İle 4165 Sok.. Kvs Aktepe - GAZİEMİR,Klorür (Cl⁻),Klorür,mg/L,51,51.0,,51.0
2025-02-19,Altan Aydin İle 4165 Sok.. Kvs Aktepe - GAZİEMİR,Koku,Koku,nan,UYGUN,,ND,
2025-02-19,Altan Aydin İle 4165 Sok.. Kvs Aktepe - GAZİEMİR,Koliform Bakteri,Koliform Bakteri,nan,0,0.0,,0.0
2025-02-19,Altan Aydin İle 4165 Sok.. Kvs Aktepe - GAZİEMİR,Nitrit (NO₂),Nitrit,mg/L,<0.13,0.065,<,0.13
2025-02-19,Altan Aydin İle 4165 Sok.. Kvs Aktepe - GAZİEMİR,Oksitlenebilirlik,Oksitlenebilirlik,mg/L O2,"0,4",0.4,,0.4
2025-02-19,Altan Aydin İle 4165 Sok.. Kvs Aktepe - GAZİEMİR,Renk,Renk,nan,UYGUN,,ND,
2025-02-19,Altan Aydin İle 4165 Sok.. Kvs Aktepe - GAZİEMİR,Toplam sertlik,Toplam Sertlik,Fr,26,26.0,,26.0
2025-02-19,Altan Aydin İle 4165 Sok.. Kvs Aktepe - GAZİEMİR,Tuzluluk,Tuzluluk,%0,0,0.0,,0.0
2025-02-19,Altan Aydin İle 4165 Sok.. Kvs Aktepe - GAZİEMİR,pH,pH,nan,"7,3 (24 °C)",7.3,,7.3
2025-02-19,Altan Aydin İle 4165 Sok.. Kvs Aktepe - GAZİEMİR,İletkenlik,İletkenlik,μS/cm,518 (25 °C),518.0,,518.0
2025-02-19,Başarı Cad.i̇le 170. Sok.kavşağı - BUCA,Alüminyum (Al),Alüminyum,μg/L,"8,91",8.91,,8.91
2025-02-19,Başarı Cad.i̇le 170. Sok.kavşağı - BUCA,Amonyum (NH₄⁺),Amonyum,mg/L,<0.06,0.03,<,0.06
2025-02-19,Başarı Cad.i̇le 170. Sok.kavşağı - BUCA,Arsenik (As),Arsenik,μg/L,"4,98",4.98,,4.98
2025-02-19,Başarı Cad.i̇le 170. Sok.kavşağı - BUCA,Bulanıklık,Bulanıklık,nan,UYGUN,,ND,
2025-02-19,Başarı Cad.i̇le 170. Sok.kavşağı - BUCA,C.perfringens,C.Perfringens,Sayı/100 ml,0,0.0,,0.0
2025-02-19,Başarı Cad.i̇le 170. Sok.kavşağı - BUCA,Demir (Fe),Demir,μg/L,"16,35",16.35,,16.35
2025-02-19,Başarı Cad.i̇le 170. Sok.kavşağı - BUCA,E.coli,E.Coli,Sayı/100 ml,0,0.0,,0.0
2025-02-19,Başarı Cad.i̇le 170. Sok.kavşağı - BUCA,Klorür (Cl⁻),Klorür,mg/L,29,29.0,,29.0
2025-02-19,Başarı Cad.i̇le 170. Sok.kavşağı - BUCA,Koku,Koku,nan,UYGUN,,ND,
2025-02-19,Başarı Cad.i̇le 170. Sok.kavşağı - BUCA,Koliform Bakteri,Koliform Bakteri,nan,0,0.0,,0.0
2025-02-19,Başarı Cad.i̇le 170. Sok.kavşağı - BUCA,Nitrit (NO₂),Nitrit,mg/L,<0.13,0.065,<,0.13
2025-02-19,Başarı Cad.i̇le 170. Sok.kavşağı - BUCA,Oksitlenebilirlik,Oksitlenebilirlik,mg/L O2,"0,6",0.6,,0.6
2025-02-19,Başarı Cad.i̇le 170. Sok.kavşağı - BUCA,Renk,Renk,nan,UYGUN,,ND,
2025-02-19,Başarı Cad.i̇le 170. Sok.kavşağı - BUCA,Toplam sertlik,Toplam Sertlik,Fr,30,30.0,,30.0
2025-02-19,Başarı Cad.i̇le 170. Sok.kavşağı - BUCA,Tuzluluk,Tuzluluk,%0,0,0.0,,0.0
2025-02-19,Başarı Cad.i̇le 170. Sok.kavşağı - BUCA,pH,pH,nan,"7,3 (24 °C)",7.3,,7.3
2025-02-19,Başarı Cad.i̇le 170. Sok.kavşağı - BUCA,İletkenlik,İletkenlik,μS/cm,565 (25 °C),565.0,,565.0
2025-02-19,Başpehlivan Kara Ali Cad. No:25/a - KARŞIYAKA,Alüminyum (Al),Alüminyum,μg/L,"14,21",14.21,,14.21
2025-02-19,Başpehlivan Kara Ali Cad. No:25/a - KARŞIYAKA,Amonyum (NH₄⁺),Amonyum,mg/L,<0.06,0.03,<,0.06
2025-02-19,Başpehlivan Kara Ali Cad. No:25/a - KARŞIYAKA,Arsenik (As),Arsenik,μg/L,"3,70",3.7,,3.7
2025-02-19,Başpehlivan Kara Ali Cad. No:25/a - KARŞIYAKA,Bulanıklık,Bulanıklık,nan,UYGUN,,ND,
2025-02-19,Başpehlivan Kara Ali Cad. No:25/a - KARŞIYAKA,C.perfringens,C.Perfringens,Sayı/100 ml,0,0.0,,0.0
2025-02-19,Başpehlivan Kara Ali Cad. No:25/a - KARŞIYAKA,Demir (Fe),Demir,μg/L,"13,66",13.66,,13.66
2025-02-19,Başpehlivan Kara Ali Cad. No:25/a - KARŞIYAKA,E.coli,E.Coli,Sayı/100 ml,0,0.0,,0.0
2025-02-19,Başpehlivan Kara Ali Cad. No:25/a - KARŞIYAKA,Klorür (Cl⁻),Klorür,mg/L,28,28.0,,28.0
2025-02-19,Başpehlivan Kara Ali Cad. No:25/a - KARŞIYAKA,Koku,Koku,nan,UYGUN,,ND,
2025-02-19,Başpehlivan Kara Ali Cad. No:25/a - KARŞIYAKA,Koliform Bakteri,Koliform Bakteri,nan,0,0.0,,0.0
2025-02-19,Başpehlivan Kara Ali Cad. No:25/a - KARŞIYAKA,Nitrit (NO₂),Nitrit,mg/L,<0.13,0.065,<,0.13
2025-02-19,Başpehlivan Kara Ali Cad. No:25/a - KARŞIYAKA,Oksitlenebilirlik,Oksitlenebilirlik,mg/L O2,"0,6",0.6,,0.6
2025-02-19,Başpehlivan Kara Ali Cad. No:25/a - KARŞIYAKA,Renk,Renk,nan,UYGUN,,ND,
2025-02-19,Başpehlivan Kara Ali Cad. No:25/a - KARŞIYAKA,Toplam sertlik,Toplam Sertlik,Fr,29,29.0,,29.0
2025-02-19,Başpehlivan Kara Ali Cad. No:25/a - KARŞIYAKA,Tuzluluk,Tuzluluk,%0,"0,1",0.1,,0.1
2025-02-19,Başpehlivan Kara Ali Cad. No:25/a - KARŞIYAKA,pH,pH,nan,"7,5 (24 °C)",7.5,,7.5
2025-02-19,Başpehlivan Kara Ali Cad. No:25/a - KARŞIYAKA,İletkenlik,İletkenlik,μS/cm,629 (25 °C),629.0,,629.0
2025-02-19,Cumhuriyet Meydanı No:16 Işıkkent - BORNOVA,Alüminyum (Al),Alüminyum,μg/L,"15,62",15.62,,15.62
2025-02-19,Cumhuriyet Meydanı No:16 Işıkkent - BORNOVA,Amonyum (NH₄⁺),Amonyum,mg/L,<0.06,0.03,<,0.06
2025-02-19,Cumhuriyet Meydanı No:16 Işıkkent - BORNOVA,Arsenik (As),Arsenik,μg/L,"3,92",3.92,,3.92
2025-02-19,Cumhuriyet Meydanı No:16 Işıkkent - BORNOVA,Bulanıklık,Bulanıklık,nan,UYGUN,,ND,
2025-02-19,Cumhuriyet Meydanı No:16 Işıkkent - BORNOVA,C.perfringens,C.Perfringens,Sayı/100 ml,0,0.0,,0.0
2025-02-19,Cumhuriyet Meydanı No:16 Işıkkent - BORNOVA,Demir (Fe),Demir,μg/L,"13,66",13.66,,13.66
2025-02-19,Cumhuriyet Meydanı No:16 Işıkkent - BORNOVA,E.coli,E.Coli,Sayı/100 ml,0,0.0,,0.0
2025-02-19,Cumhuriyet Meydanı No:16 Işıkkent - BORNOVA,Klorür (Cl⁻),Klorür,mg/L,30,30.0,,30.0
2025-02-19,Cumhuriyet Meydanı No:16 Işıkkent - BORNOVA,Koku,Koku,nan,UYGUN,,ND,
2025-02-19,Cumhuriyet Meydanı No:16 Işıkkent - BORNOVA,Koliform Bakteri,Koliform Bakteri,nan,0,0.0,,0.0
2025-02-19,Cumhuriyet Meydanı No:16 Işıkkent - BORNOVA,Nitrit (NO₂),Nitrit,mg/L,<0.13,0.065,<,0.13
2025-02-19,Cumhuriyet Meydanı No:16 Işıkkent - BORNOVA,Oksitlenebilirlik,Oksitlenebilirlik,mg/L O2,"0,6",0.6,,0.6
2025-02-19,Cumhuriyet Meydanı No:16 Işıkkent - BORNOVA,Renk,Renk,nan,UYGUN,,ND,
2025-02-19,Cumhuriyet Meydanı No:16 Işıkkent - BORNOVA,Toplam sertlik,Toplam Sertlik,Fr,31,31.0,,31.0
2025-02-19,Cumhuriyet Meydanı No:16 Işıkkent - BORNOVA,Tuzluluk,Tuzluluk,%0,"0,1",0.1,,0.1
2025-02-19,Cumhuriyet Meydanı No:16 Işıkkent - BORNOVA,pH,pH,nan,"7,5 (24 °C)",7.5,,7.5
2025-02-19,Cumhuriyet Meydanı No:16 Işıkkent - BORNOVA,İletkenlik,İletkenlik,μS/cm,628 (25 °C),628.0,,628.0
2025-02-19,Dogus Cad. İle A.yesevi Cd. Kvs. Kuruçeşme - BUCA,Alüminyum (Al),Alüminyum,μg/L,"15,32",15.32,,15.32
2025-02-19,Dogus Cad. İle A.yesevi Cd. Kvs. Kuruçeşme - BUCA,Amonyum (NH₄⁺),Amonyum,mg/L,<0.06,0.03,<,0.06
2025-02-19,Dogus Cad. İle A.yesevi Cd. Kvs. Kuruçeşme - BUCA,Arsenik (As),Arsenik,μg/L,"2,32",2.32,,2.32
2025-02-19,Dogus Cad. İle A.yesevi Cd. Kvs. Kuruçeşme - BUCA,Bulanıklık,Bulanıklık,nan,UYGUN,,ND,
2025-02-19,Dogus Cad. İle A.yesevi Cd. Kvs. Kuruçeşme - BUCA,C.perfringens,C.Perfringens,Sayı/100 ml,0,0.0,,0.0
2025-02-19,Dogus Cad. İle A.yesevi Cd. Kvs. Kuruçeşme - BUCA,Demir (Fe),Demir,μg/L,"87,70",87.7,,87.7
2025-02-19,Dogus Cad. İle A.yesevi Cd. Kvs. Kuruçeşme - BUCA,E.coli,E.Coli,Sayı/100 ml,0,0.0,,0.0
2025-02-19,Dogus Cad. İle A.yesevi Cd. Kvs. Kuruçeşme - BUCA,Klorür (Cl⁻),Klorür,mg/L,51,51.0,,51.0
2025-02-19,Dogus Cad. İle A.yesevi Cd. Kvs. Kuruçeşme - BUCA,Koku,Koku,nan,UYGUN,,ND,
2025-02-19,Dogus Cad. İle A.yesevi Cd. Kvs. Kuruçeşme - BUCA,Koliform Bakteri,Koliform Bakteri,nan,0,0.0,,0.0
2025-02-19,Dogus Cad. İle A.yesevi Cd. Kvs. Kuruçeşme - BUCA,Nitrit (NO₂),Nitrit,mg/L,<0.13,0.065,<,0.13
2025-02-19,Dogus Cad. İle A.yesevi Cd. Kvs. Kuruçeşme - BUCA,Oksitlenebilirlik,Oksitlenebilirlik,mg/L O2,"0,4",0.4,,0.4
2025-02-19,Dogus Cad. İle A.yesevi Cd. Kvs. Kuruçeşme - BUCA,Renk,Renk,nan,UYGUN,,ND,
2025-02-19,Dogus Cad. İle A.yesevi Cd. Kvs. Kuruçeşme - BUCA,Toplam sertlik,Toplam Sertlik,Fr,26,26.0,,26.0
2025-02-19,Dogus Cad. İle A.yesevi Cd. Kvs. Kuruçeşme - BUCA,Tuzluluk,Tuzluluk,%0,0,0.0,,0.0
2025-02-19,Dogus Cad. İle A.yesevi Cd. Kvs. Kuruçeşme - BUCA,pH,pH,nan,"7,3 (24 °C)",7.3,,7.3
2025-02-19,Dogus Cad. İle A.yesevi Cd. Kvs. Kuruçeşme - BUCA,İletkenlik,İletkenlik,μS/cm,521 (25 °C),521.0,,521.0
2025-02-19,Ege Üni.kampüsü İtfaiye Çeşmesi/i̇zsu Teknik Amirlik - BORNOVA,Alüminyum (Al),Alüminyum,μg/L,"12,83",12.83,,12.83
2025-02-19,Ege Üni.kampüsü İtfaiye Çeşmesi/i̇zsu Teknik Amirlik - BORNOVA,Amonyum (NH₄⁺),Amonyum,mg/L,<0.06,0.03,<,0.06
2025-02-19,Ege Üni.kampüsü İtfaiye Çeşmesi/i̇zsu Teknik Amirlik - BORNOVA,Arsenik (As),Arsenik,μg/L,"3,74",3.74,,3.74
2025-02-19,Ege Üni.kampüsü İtfaiye Çeşmesi/i̇zsu Teknik Amirlik - BORNOVA,Bulanıklık,Bulanıklık,nan,UYGUN,,ND,
2025-02-19,Ege Üni.kampüsü İtfaiye Çeşmesi/i̇zsu Teknik Amirlik - BORNOVA,C.perfringens,C.Perfringens,Sayı/100 ml,0,0.0,,0.0
2025-02-19,Ege Üni.kampüsü İtfaiye Çeşmesi/i̇zsu Teknik Amirlik - BORNOVA,Demir (Fe),Demir,μg/L,"13,94",13.94,,13.94
2025-02-19,Ege Üni.kampüsü İtfaiye Çeşmesi/i̇zsu Teknik Amirlik - BORNOVA,E.coli,E.Coli,Sayı/100 ml,0,0.0,,0.0
2025-02-19,Ege Üni.kampüsü İtfaiye Çeşmesi/i̇zsu Teknik Amirlik - BORNOVA,Klorür (Cl⁻),Klorür,mg/L,30,30.0,,30.0
2025-02-19,Ege Üni.kampüsü İtfaiye Çeşmesi/i̇zsu Teknik Amirlik - BORNOVA,Koku,Koku,nan,UYGUN,,ND,
2025-02-19,Ege Üni.kampüsü İtfaiye Çeşmesi/i̇zsu Teknik Amirlik - BORNOVA,Koliform Bakteri,Koliform Bakteri,nan,0,0.0,,0.0
2025-02-19,Ege Üni.kampüsü İtfaiye Çeşmesi/i̇zsu Teknik Amirlik - BORNOVA,Nitrit (NO₂),Nitrit,mg/L,<0.13,0.065,<,0.13
2025-02-19,Ege Üni.kampüsü İtfaiye Çeşmesi/i̇zsu Teknik Amirlik - BORNOVA,Oksitlenebilirlik,Oksitlenebilirlik,mg/L O2,"0,6",0.6,,0.6
2025-02-19,Ege Üni.kampüsü İtfaiye Çeşmesi/i̇zsu Teknik Amirlik - BORNOVA,Renk,Renk,nan,UYGUN,,ND,
2025-02-19,Ege Üni.kampüsü İtfaiye Çeşmesi/i̇zsu Teknik Amirlik - BORNOVA,Toplam sertlik,Toplam Sertlik,Fr,31,31.0,,31.0
2025-02-19,Ege Üni.kampüsü İtfaiye Çeşmesi/i̇zsu Teknik Amirlik - BORNOVA,Tuzluluk,Tuzluluk,%0,"0,1",0.1,,0.1
2025-02-19,Ege Üni.kampüsü İtfaiye Çeşmesi/i̇zsu Teknik Amirlik - BORNOVA,pH,pH,nan,"7,5 (24 °C)",7.5,,7.5
2025-02-19,Ege Üni.kampüsü İtfaiye Çeşmesi/i̇zsu Teknik Amirlik - BORNOVA,İletkenlik,İletkenlik,μS/cm,629 (25 °C),629.0,,629.0
2025-02-19,Fatih Cd. İle Beyazıt Cd. Tuğlacı Önü Mersinli - BORNOVA,Alüminyum (Al),Alüminyum,μg/L,"17,58",17.58,,17.58
2025-02-19,Fatih Cd. İle Beyazıt Cd. Tuğlacı Önü Mersinli - BORNOVA,Amonyum (NH₄⁺),Amonyum,mg/L,<0.06,0.03,<,0.06
2025-02-19,Fatih Cd. İle Beyazıt Cd. Tuğlacı Önü Mersinli - BORNOVA,Arsenik (As),Arsenik,μg/L,"4,75",4.75,,4.75
2025-02-19,Fatih Cd. İle Beyazıt Cd. Tuğlacı Önü Mersinli - BORNOVA,Bulanıklık,Bulanıklık,nan,UYGUN,,ND,
2025-02-19,Fatih Cd. İle Beyazıt Cd. Tuğlacı Önü Mersinli - BORNOVA,C.perfringens,C.Perfringens,Sayı/100 ml,0,0.0,,0.0
2025-02-19,Fatih Cd. İle Beyazıt Cd. Tuğlacı Önü Mersinli - BORNOVA,Demir (Fe),Demir,μg/L,"99,78",99.78,,99.78
2025-02-19,Fatih Cd. İle Beyazıt Cd. Tuğlacı Önü Mersinli - BORNOVA,E.coli,E.Coli,Sayı/100 ml,0,0.0,,0.0
2025-02-19,Fatih Cd. İle Beyazıt Cd. Tuğlacı Önü Mersinli - BORNOVA,Klorür (Cl⁻),Klorür,mg/L,28,28.0,,28.0
2025-02-19,Fatih Cd. İle Beyazıt Cd. Tuğlacı Önü Mersinli - BORNOVA,Koku,Koku,nan,UYGUN,,ND,
2025-02-19,Fatih Cd. İle Beyazıt Cd. Tuğlacı Önü Mersinli - BORNOVA,Koliform Bakteri,Koliform Bakteri,nan,0,0.0,,0.0
2025-02-19,Fatih Cd. İle Beyazıt Cd. Tuğlacı Önü Mersinli - BORNOVA,Nitrit (NO₂),Nitrit,mg/L,<0.13,0.065,<,0.13
2025-02-19,Fatih Cd. İle Beyazıt Cd. Tuğlacı Önü Mersinli - BORNOVA,Oksitlenebilirlik,Oksitlenebilirlik,mg/L O2,"0,6",0.6,,0.6
2025-02-19,Fatih Cd. İle Beyazıt Cd. Tuğlacı Önü Mersinli - BORNOVA,Renk,Renk,nan,UYGUN,,ND,
2025-02-19,Fatih Cd. İle Beyazıt Cd. Tuğlacı Önü Mersinli - BORNOVA,Toplam sertlik,Toplam Sertlik,Fr,32,32.0,,32.0
2025-02-19,Fatih Cd. İle Beyazıt Cd. Tuğlacı Önü Mersinli - BORNOVA,Tuzluluk,Tuzluluk,%0,"0,1",0.1,,0.1
2025-02-19,Fatih Cd. İle Beyazıt Cd. Tuğlacı Önü Mersinli - BORNOVA,pH,pH,nan,"7,4 (24 °C)",7.4,,7.4
2025-02-19,Fatih Cd. İle Beyazıt Cd. Tuğlacı Önü Mersinli - BORNOVA,İletkenlik,İletkenlik,μS/cm,645 (25 °C),645.0,,645.0
2025-02-19,Hakan Uysal Cad. No:273/1 Çay Mahallesi - BAYRAKLI,Alüminyum (Al),Alüminyum,μg/L,"18,39",18.39,,18.39
2025-02-19,Hakan Uysal Cad. No:273/1 Çay Mahallesi - BAYRAKLI,Amonyum (NH₄⁺),Amonyum,mg/L,<0.06,0.03,<,0.06
2025-02-19,Hakan Uysal Cad. No:273/1 Çay Mahallesi - BAYRAKLI,Arsenik (As),Arsenik,μg/L,"4,92",4.92,,4.92
2025-02-19,Hakan Uysal Cad. No:273/1 Çay Mahallesi - BAYRAKLI,Bulanıklık,Bulanıklık,nan,UYGUN,,ND,
2025-02-19,Hakan Uysal Cad. No:273/1 Çay Mahallesi - BAYRAKLI,C.perfringens,C.Perfringens,Sayı/100 ml,0,0.0,,0.0
2025-02-19,Hakan Uysal Cad. No:273/1 Çay Mahallesi - BAYRAKLI,Demir (Fe),Demir,μg/L,"102,5",102.5,,102.5
2025-02-19,Hakan Uysal Cad. No:273/1 Çay Mahallesi - BAYRAKLI,E.coli,E.Coli,Sayı/100 ml,0,0.0,,0.0
2025-02-19,Hakan Uysal Cad. No:273/1 Çay Mahallesi - BAYRAKLI,Klorür (Cl⁻),Klorür,mg/L,28,28.0,,28.0
2025-02-19,Hakan Uysal Cad. No:273/1 Çay Mahallesi - BAYRAKLI,Koku,Koku,nan,UYGUN,,ND,
2025-02-19,Hakan Uysal Cad. No:273/1 Çay Mahallesi - BAYRAKLI,Koliform Bakteri,Koliform Bakteri,nan,0,0.0,,0.0
2025-02-19,Hakan Uysal Cad. No:273/1 Çay Mahallesi - BAYRAKLI,Nitrit (NO₂),Nitrit,mg/L,<0.13,0.065,<,0.13
2025-02-19,Hakan Uysal Cad. No:273/1 Çay Mahallesi - BAYRAKLI,Oksitlenebilirlik,Oksitlenebilirlik,mg/L O2,"0,6",0.6,,0.6
2025-02-19,Hakan Uysal Cad. No:273/1 Çay Mahallesi - BAYRAKLI,Renk,Renk,nan,UYGUN,,ND,
2025-02-19,Hakan Uysal Cad. No:273/1 Çay Mahallesi - BAYRAKLI,Toplam sertlik,Toplam Sertlik,Fr,33,33.0,,33.0
2025-02-19,Hakan Uysal Cad. No:273/1 Çay Mahallesi - BAYRAKLI,Tuzluluk,Tuzluluk,%0,"0,1",0.1,,0.1
2025-02-19,Hakan Uysal Cad. No:273/1 Çay Mahallesi - BAYRAKLI,pH,pH,nan,"7,4 (24 °C)",7.4,,7.4
2025-02-19,Hakan Uysal Cad. No:273/1 Çay Mahallesi - BAYRAKLI,İletkenlik,İletkenlik,μS/cm,644 (25 °C),644.0,,644.0
2025-02-19,Hürriyet Cad. Polis Mer. No:86 Atatürk - BORNOVA,Alüminyum (Al),Alüminyum,μg/L,"15,43",15.43,,15.43
2025-02-19,Hürriyet Cad. Polis Mer. No:86 Atatürk - BORNOVA,Amonyum (NH₄⁺),Amonyum,mg/L,<0.06,0.03,<,0.06
