Tarih,NoktaId,NoktaTanimi,ParametreAdi,Birim,Deger,Standart
20.08.2025,37,Atatürk Cad. İle Zübeyde Hanim Cad.Kavşağı,İletkenlik,µS/cm,651 (25 °C),2500
20.08.2025,37,Atatürk Cad. İle Zübeyde Hanim Cad.Kavşağı,Tuzluluk,%0,0.1,---
20.08.2025,37,Atatürk Cad. İle Zübeyde Hanim Cad.Kavşağı,Amonyum (NH₄⁺),mg/L,<0.06,"0,5"
20.08.2025,37,Atatürk Cad. İle Zübeyde Hanim Cad.Kavşağı,Koku, ,0,Tüketicilerce Kabul Edilebilir
20.08.2025,37,Atatürk Cad. İle Zübeyde Hanim Cad.Kavşağı,E.coli,Sayı/100 ml,0,0
20.08.2025,37,Atatürk Cad. İle Zübeyde Hanim Cad.Kavşağı,E.coli,Sayı/100 ml,0,0
20.08.2025,37,Atatürk Cad. İle Zübeyde Hanim Cad.Kavşağı,Bulanıklık, ,0.6,Tüketicilerce Kabul Edilebilir
20.08.2025,37,Atatürk Cad. İle Zübeyde Hanim Cad.Kavşağı,Toplam sertlik,Fr,30,---
20.08.2025,37,Atatürk Cad. İle Zübeyde Hanim Cad.Kavşağı,Renk, ,0,Tüketicilerce Kabul Edilebilir
20.08.2025,37,Atatürk Cad. İle Zübeyde Hanim Cad.Kavşağı,Demir (Fe),µg/L,38.68,200
20.08.2025,38,6800 Sok. No:9 Sağlık Ocağı Evka 2,Koku, ,0,Tüketicilerce Kabul Edilebilir
20.08.2025,38,6800 Sok. No:9 Sağlık Ocağı Evka 2,E.coli,Sayı/100 ml,0,0
20.08.2025,38,6800 Sok. No:9 Sağlık Ocağı Evka 2,E.coli,Sayı/100 ml,0,0
20.08.2025,38,6800 Sok. No:9 Sağlık Ocağı Evka 2,C.perfringens,Sayı/100 ml,0,0
20.08.2025,38,6800 Sok. No:9 Sağlık Ocağı Evka 2,C.perfringens,Sayı/100 ml,0,0
20.08.2025,38,6800 Sok. No:9 Sağlık Ocağı Evka 2,Toplam sertlik,Fr,31,---
20.08.2025,38,6800 Sok. No:9 Sağlık Ocağı Evka 2,Arsenik (As),µg/L,3.70,10
20.08.2025,38,6800 Sok. No:9 Sağlık Ocağı Evka 2,İletkenlik,µS/cm,673 (25 °C),2500
20.08.2025,38,6800 Sok. No:9 Sağlık Ocağı Evka 2,Renk, ,0,Tüketicilerce Kabul Edilebilir
20.08.2025,38,6800 Sok. No:9 Sağlık Ocağı Evka 2,Koliform Bakteri, ,0,0
20.08.2025,38,6800 Sok. No:9 Sağlık Ocağı Evka 2,Koliform Bakteri, ,0,0
20.08.2025,38,6800 Sok. No:9 Sağlık Ocağı Evka 2,pH, ,7.5 (25 °C),"6,5-9,5"
20.08.2025,38,6800 Sok. No:9 Sağlık Ocağı Evka 2,Nitrit (NO₂),mg/L,<0.13,"0,5"
20.08.2025,38,6800 Sok. No:9 Sağlık Ocağı Evka 2,Tuzluluk,%0,0.1,---
20.08.2025,38,6800 Sok. No:9 Sağlık Ocağı Evka 2,Amonyum (NH₄⁺),mg/L,<0.06,"0,5"
20.08.2025,38,6800 Sok. No:9 Sağlık Ocağı Evka 2,Alüminyum (Al),µg/L,19.69,200
20.08.2025,38,6800 Sok. No:9 Sağlık Ocağı Evka 2,Bulanıklık, ,0.5,Tüketicilerce Kabul Edilebilir
20.08.2025,38,6800 Sok. No:9 Sağlık Ocağı Evka 2,Klorür (Cl⁻),mg/L,28,250
20.08.2025,38,6800 Sok. No:9 Sağlık Ocağı Evka 2,Oksitlenebilirlik,mg/L O2,0.6,5
20.08.2025,38,6800 Sok. No:9 Sağlık Ocağı Evka 2,Demir (Fe),µg/L,37.93,200
20.08.2025,39,Başpehlivan Kara Ali Cad. No:25/A,pH, ,7.5 (25 °C),"6,5-9,5"
20.08.2025,39,Başpehlivan Kara Ali Cad. No:25/A,Demir (Fe),µg/L,36.39,200
20.08.2025,39,Başpehlivan Kara Ali Cad. No:25/A,Toplam sertlik,Fr,31,---
20.08.2025,39,Başpehlivan Kara Ali Cad. No:25/A,Renk, ,0,Tüketicilerce Kabul Edilebilir
20.08.2025,39,Başpehlivan Kara Ali Cad. No:25/A,C.perfringens,Sayı/100 ml,0,0
20.08.2025,39,Başpehlivan Kara Ali Cad. No:25/A,C.perfringens,Sayı/100 ml,0,0
20.08.2025,39,Başpehlivan Kara Ali Cad. No:25/A,E.coli,Sayı/100 ml,0,0
20.08.2025,39,Başpehlivan Kara Ali Cad. No:25/A,E.coli,Sayı/100 ml,0,0
20.08.2025,39,Başpehlivan Kara Ali Cad. No:25/A,Nitrit (NO₂),mg/L,<0.13,"0,5"
20.08.2025,39,Başpehlivan Kara Ali Cad. No:25/A,Koku, ,0,Tüketicilerce Kabul Edilebilir
20.08.2025,39,Başpehlivan Kara Ali Cad. No:25/A,Tuzluluk,%0,0.1,---
20.08.2025,39,Başpehlivan Kara Ali Cad. No:25/A,Klorür (Cl⁻),mg/L,28,250
20.08.2025,39,Başpehlivan Kara Ali Cad. No:25/A,Amonyum (NH₄⁺),mg/L,<0.06,"0,5"
20.08.2025,39,Başpehlivan Kara Ali Cad. No:25/A,Koliform Bakteri, ,0,0
20.08.2025,39,Başpehlivan Kara Ali Cad. No:25/A,Koliform Bakteri, ,0,0
20.08.2025,39,Başpehlivan Kara Ali Cad. No:25/A,Bulanıklık, ,0.5,Tüketicilerce Kabul Edilebilir
20.08.2025,39,Başpehlivan Kara Ali Cad. No:25/A,İletkenlik,µS/cm,672 (25 °C),2500
20.08.2025,39,Başpehlivan Kara Ali Cad. No:25/A,Arsenik (As),µg/L,3.55,10
20.08.2025,39,Başpehlivan Kara Ali Cad. No:25/A,Oksitlenebilirlik,mg/L O2,0.6,5
20.08.2025,39,Başpehlivan Kara Ali Cad. No:25/A,Alüminyum (Al),µg/L,26.37,200
20.08.2025,40,7019 Sok. No:20/3 Merkez Cami Gümüşpala,E.coli,Sayı/100 ml,0,0
20.08.2025,40,7019 Sok. No:20/3 Merkez Cami Gümüşpala,E.coli,Sayı/100 ml,0,0
20.08.2025,40,7019 Sok. No:20/3 Merkez Cami Gümüşpala,Klorür (Cl⁻),mg/L,28,250
20.08.2025,40,7019 Sok. No:20/3 Merkez Cami Gümüşpala,Oksitlenebilirlik,mg/L O2,0.6,5
20.08.2025,40,7019 Sok. No:20/3 Merkez Cami Gümüşpala,Koliform Bakteri, ,0,0
20.08.2025,40,7019 Sok. No:20/3 Merkez Cami Gümüşpala,Koliform Bakteri, ,0,0
20.08.2025,40,7019 Sok. No:20/3 Merkez Cami Gümüşpala,C.perfringens,Sayı/100 ml,0,0
20.08.2025,40,7019 Sok. No:20/3 Merkez Cami Gümüşpala,C.perfringens,Sayı/100 ml,0,0
20.08.2025,40,7019 Sok. No:20/3 Merkez Cami Gümüşpala,Arsenik (As),µg/L,3.68,10
20.08.2025,40,7019 Sok. No:20/3 Merkez Cami Gümüşpala,Renk, ,0,Tüketicilerce Kabul Edilebilir
20.08.2025,40,7019 Sok. No:20/3 Merkez Cami Gümüşpala,Nitrit (NO₂),mg/L,<0.13,"0,5"
20.08.2025,40,7019 Sok. No:20/3 Merkez Cami Gümüşpala,Alüminyum (Al),µg/L,19.86,200
20.08.2025,40,7019 Sok. No:20/3 Merkez Cami Gümüşpala,İletkenlik,µS/cm,669 (25 °C),2500
20.08.2025,40,7019 Sok. No:20/3 Merkez Cami Gümüşpala,Amonyum (NH₄⁺),mg/L,<0.06,"0,5"
20.08.2025,40,7019 Sok. No:20/3 Merkez Cami Gümüşpala,Toplam sertlik,Fr,31,---
20.08.2025,40,7019 Sok. No:20/3 Merkez Cami Gümüşpala,Koku, ,0,Tüketicilerce Kabul Edilebilir
20.08.2025,40,7019 Sok. No:20/3 Merkez Cami Gümüşpala,Bulanıklık, ,0.6,Tüketicilerce Kabul Edilebilir
20.08.2025,40,7019 Sok. No:20/3 Merkez Cami Gümüşpala,Demir (Fe),µg/L,37.35,200
20.08.2025,40,7019 Sok. No:20/3 Merkez Cami Gümüşpala,pH, ,7.5 (25 °C),"6,5-9,5"
20.08.2025,40,7019 Sok. No:20/3 Merkez Cami Gümüşpala,Tuzluluk,%0,0.1,---
13.08.2025,41,7191 Sok. No:1/A Doğançay,Koliform Bakteri, ,0,0
13.08.2025,41,7191 Sok. No:1/A Doğançay,Koliform Bakteri, ,0,0
13.08.2025,41,7191 Sok. No:1/A Doğançay,Klorür (Cl⁻),mg/L,25,250
13.08.2025,41,7191 Sok. No:1/A Doğançay,Oksitlenebilirlik,mg/L O2,0.6,5
13.08.2025,41,7191 Sok. No:1/A Doğançay,Nitrit (NO₂),mg/L,<0.13,"0,5"
13.08.2025,41,7191 Sok. No:1/A Doğançay,Bulanıklık, ,0.5,Tüketicilerce Kabul Edilebilir
13.08.2025,41,7191 Sok. No:1/A Doğançay,Tuzluluk,%0,0.1,---
13.08.2025,41,7191 Sok. No:1/A Doğançay,Arsenik (As),µg/L,4.28,10
13.08.2025,41,7191 Sok. No:1/A Doğançay,Amonyum (NH₄⁺),mg/L,<0.06,"0,5"
13.08.2025,41,7191 Sok. No:1/A Doğançay,Koku, ,0,Tüketicilerce Kabul Edilebilir
13.08.2025,41,7191 Sok. No:1/A Doğançay,Alüminyum (Al),µg/L,15.32,200
13.08.2025,41,7191 Sok. No:1/A Doğançay,Toplam sertlik,Fr,29,---
13.08.2025,41,7191 Sok. No:1/A Doğançay,Demir (Fe),µg/L,35.20,200
13.08.2025,41,7191 Sok. No:1/A Doğançay,İletkenlik,µS/cm,655 (25 °C),2500
13.08.2025,41,7191 Sok. No:1/A Doğançay,Renk, ,0,Tüketicilerce Kabul Edilebilir
13.08.2025,41,7191 Sok. No:1/A Doğançay,E.coli,Sayı/100 ml,0,0
13.08.2025,41,7191 Sok. No:1/A Doğançay,E.coli,Sayı/100 ml,0,0
13.08.2025,41,7191 Sok. No:1/A Doğançay,C.perfringens,Sayı/100 ml,0,0
13.08.2025,41,7191 Sok. No:1/A Doğançay,C.perfringens,Sayı/100 ml,0,0
13.08.2025,41,7191 Sok. No:1/A Doğançay,pH, ,7.7 (25 °C),"6,5-9,5"
13.08.2025,42,7348 Sok. No:2 Polis Merkezi Yamanlar,Toplam sertlik,Fr,30,---
13.08.2025,42,7348 Sok. No:2 Polis Merkezi Yamanlar,Renk, ,0,Tüketicilerce Kabul Edilebilir
13.08.2025,42,7348 Sok. No:2 Polis Merkezi Yamanlar,Koliform Bakteri, ,0,0
13.08.2025,42,7348 Sok. No:2 Polis Merkezi Yamanlar,Koliform Bakteri, ,0,0
13.08.2025,42,7348 Sok. No:2 Polis Merkezi Yamanlar,pH, ,7.7 (25 °C),"6,5-9,5"
13.08.2025,42,7348 Sok. No:2 Polis Merkezi Yamanlar,Klorür (Cl⁻),mg/L,27,250
13.08.2025,42,7348 Sok. No:2 Polis Merkezi Yamanlar,Nitrit (NO₂),mg/L,<0.13,"0,5"
13.08.2025,42,7348 Sok. No:2 Polis Merkezi Yamanlar,Koku, ,0,Tüketicilerce Kabul Edilebilir
13.08.2025,42,7348 Sok. No:2 Polis Merkezi Yamanlar,Amonyum (NH₄⁺),mg/L,<0.06,"0,5"
13.08.2025,42,7348 Sok. No:2 Polis Merkezi Yamanlar,Bulanıklık, ,0.4,Tüketicilerce Kabul Edilebilir
13.08.2025,42,7348 Sok. No:2 Polis Merkezi Yamanlar,Demir (Fe),µg/L,38.65,200
13.08.2025,42,7348 Sok. No:2 Polis Merkezi Yamanlar,Alüminyum (Al),µg/L,15.84,200
13.08.2025,42,7348 Sok. No:2 Polis Merkezi Yamanlar,Arsenik (As),µg/L,4.38,10
13.08.2025,42,7348 Sok. No:2 Polis Merkezi Yamanlar,C.perfringens,Sayı/100 ml,0,0
13.08.2025,42,7348 Sok. No:2 Polis Merkezi Yamanlar,C.perfringens,Sayı/100 ml,0,0
13.08.2025,42,7348 Sok. No:2 Polis Merkezi Yamanlar,Tuzluluk,%0,0.1,---
13.08.2025,42,7348 Sok. No:2 Polis Merkezi Yamanlar,E.coli,Sayı/100 ml,0,0
13.08.2025,42,7348 Sok. No:2 Polis Merkezi Yamanlar,E.coli,Sayı/100 ml,0,0
13.08.2025,42,7348 Sok. No:2 Polis Merkezi Yamanlar,İletkenlik,µS/cm,664 (25 °C),2500
13.08.2025,42,7348 Sok. No:2 Polis Merkezi Yamanlar,Oksitlenebilirlik,mg/L O2,0.6,5
13.08.2025,43,7659/2 Sok. No:1/B Postacılar Mah.,E.coli,Sayı/100 ml,0,0
13.08.2025,43,7659/2 Sok. No:1/B Postacılar Mah.,E.coli,Sayı/100 ml,0,0
13.08.2025,43,7659/2 Sok. No:1/B Postacılar Mah.,Amonyum (NH₄⁺),mg/L,<0.06,"0,5"
13.08.2025,43,7659/2 Sok. No:1/B Postacılar Mah.,pH, ,7.7 (25 °C),"6,5-9,5"
13.08.2025,43,7659/2 Sok. No:1/B Postacılar Mah.,Toplam sertlik,Fr,30,---
13.08.2025,43,7659/2 Sok. No:1/B Postacılar Mah.,Demir (Fe),µg/L,39.86,200
13.08.2025,43,7659/2 Sok. No:1/B Postacılar Mah.,C.perfringens,Sayı/100 ml,0,0
13.08.2025,43,7659/2 Sok. No:1/B Postacılar Mah.,C.perfringens,Sayı/100 ml,0,0
13.08.2025,43,7659/2 Sok. No:1/B Postacılar Mah.,Tuzluluk,%0,0.1,---
13.08.2025,43,7659/2 Sok. No:1/B Postacılar Mah.,Koku, ,0,Tüketicilerce Kabul Edilebilir
13.08.2025,43,7659/2 Sok. No:1/B Postacılar Mah.,Bulanıklık, ,0.6,Tüketicilerce Kabul Edilebilir
13.08.2025,43,7659/2 Sok. No:1/B Postacılar Mah.,Arsenik (As),µg/L,4.42,10
13.08.2025,43,7659/2 Sok. No:1/B Postacılar Mah.,Renk, ,0,Tüketicilerce Kabul Edilebilir
13.08.2025,43,7659/2 Sok. No:1/B Postacılar Mah.,Klorür (Cl⁻),mg/L,27,250
13.08.2025,43,7659/2 Sok. No:1/B Postacılar Mah.,Oksitlenebilirlik,mg/L O2,0.6,5
13.08.2025,43,7659/2 Sok. No:1/B Postacılar Mah.,Koliform Bakteri, ,0,0
13.08.2025,43,7659/2 Sok. No:1/B Postacılar Mah.,Koliform Bakteri, ,0,0
13.08.2025,43,7659/2 Sok. No:1/B Postacılar Mah.,İletkenlik,µS/cm,667 (25 °C),2500
13.08.2025,43,7659/2 Sok. No:1/B Postacılar Mah.,Nitrit (NO₂),mg/L,<0.13,"0,5"
13.08.2025,43,7659/2 Sok. No:1/B Postacılar Mah.,Alüminyum (Al),µg/L,17.03,200
13.08.2025,44,6730 Sok. No:6/A Yamaç Mah.,Koku, ,0,Tüketicilerce Kabul Edilebilir
13.08.2025,44,6730 Sok. No:6/A Yamaç Mah.,Bulanıklık, ,0.7,Tüketicilerce Kabul Edilebilir
13.08.2025,44,6730 Sok. No:6/A Yamaç Mah.,Alüminyum (Al),µg/L,16.74,200
13.08.2025,44,6730 Sok. No:6/A Yamaç Mah.,Renk, ,0,Tüketicilerce Kabul Edilebilir
13.08.2025,44,6730 Sok. No:6/A Yamaç Mah.,E.coli,Sayı/100 ml,0,0
13.08.2025,44,6730 Sok. No:6/A Yamaç Mah.,E.coli,Sayı/100 ml,0,0
13.08.2025,44,6730 Sok. No:6/A Yamaç Mah.,Tuzluluk,%0,0.1,---
13.08.2025,44,6730 Sok. No:6/A Yamaç Mah.,Klorür (Cl⁻),mg/L,27,250
13.08.2025,44,6730 Sok. No:6/A Yamaç Mah.,Oksitlenebilirlik,mg/L O2,0.6,5
13.08.2025,44,6730 Sok. No:6/A Yamaç Mah.,Koliform Bakteri, ,0,0
13.08.2025,44,6730 Sok. No:6/A Yamaç Mah.,Koliform Bakteri, ,0,0
13.08.2025,44,6730 Sok. No:6/A Yamaç Mah.,İletkenlik,µS/cm,668 (25 °C),2500
13.08.2025,44,6730 Sok. No:6/A Yamaç Mah.,pH, ,7.7 (25 °C),"6,5-9,5"
13.08.2025,44,6730 Sok. No:6/A Yamaç Mah.,C.perfringens,Sayı/100 ml,0,0
13.08.2025,44,6730 Sok. No:6/A Yamaç Mah.,C.perfringens,Sayı/100 ml,0,0
13.08.2025,44,6730 Sok. No:6/A Yamaç Mah.,Nitrit (NO₂),mg/L,<0.13,"0,5"
13.08.2025,44,6730 Sok. No:6/A Yamaç Mah.,Demir (Fe),µg/L,41.19,200
13.08.2025,44,6730 Sok. No:6/A Yamaç Mah.,Amonyum (NH₄⁺),mg/L,<0.06,"0,5"
13.08.2025,44,6730 Sok. No:6/A Yamaç Mah.,Toplam sertlik,Fr,30,---
13.08.2025,44,6730 Sok. No:6/A Yamaç Mah.,Arsenik (As),µg/L,4.55,10
13.08.2025,45,Alim Dağhan Cd. İle 6716 Sok. Kvs.,E.coli,Sayı/100 ml,0,0
13.08.2025,45,Alim Dağhan Cd. İle 6716 Sok. Kvs.,E.coli,Sayı/100 ml,0,0
13.08.2025,45,Alim Dağhan Cd. İle 6716 Sok. Kvs.,Amonyum (NH₄⁺),mg/L,<0.06,"0,5"
13.08.2025,45,Alim Dağhan Cd. İle 6716 Sok. Kvs.,Koliform Bakteri, ,0,0
13.08.2025,45,Alim Dağhan Cd. İle 6716 Sok. Kvs.,Koliform Bakteri, ,0,0
13.08.2025,45,Alim Dağhan Cd. İle 6716 Sok. Kvs.,Tuzluluk,%0,0.1,---
13.08.2025,45,Alim Dağhan Cd. İle 6716 Sok. Kvs.,Demir (Fe),µg/L,37.94,200
13.08.2025,45,Alim Dağhan Cd. İle 6716 Sok. Kvs.,Koku, ,0,Tüketicilerce Kabul Edilebilir
13.08.2025,45,Alim Dağhan Cd. İle 6716 Sok. Kvs.,Bulanıklık, ,0.6,Tüketicilerce Kabul Edilebilir
13.08.2025,45,Alim Dağhan Cd. İle 6716 Sok. Kvs.,pH, ,7.7 (25 °C),"6,5-9,5"
13.08.2025,45,Alim Dağhan Cd. İle 6716 Sok. Kvs.,İletkenlik,µS/cm,670 (25 °C),2500
13.08.2025,45,Alim Dağhan Cd. İle 6716 Sok. Kvs.,Toplam sertlik,Fr,30,---
13.08.2025,45,Alim Dağhan Cd. İle 6716 Sok. Kvs.,Arsenik (As),µg/L,4.34,10
13.08.2025,45,Alim Dağhan Cd. İle 6716 Sok. Kvs.,C.perfringens,Sayı/100 ml,0,0
13.08.2025,45,Alim Dağhan Cd. İle 6716 Sok. Kvs.,C.perfringens,Sayı/100 ml,0,0
13.08.2025,45,Alim Dağhan Cd. İle 6716 Sok. Kvs.,Klorür (Cl⁻),mg/L,27,250
13.08.2025,45,Alim Dağhan Cd. İle 6716 Sok. Kvs.,Oksitlenebilirlik,mg/L O2,0.6,5
13.08.2025,45,Alim Dağhan Cd. İle 6716 Sok. Kvs.,Nitrit (NO₂),mg/L,<0.13,"0,5"
13.08.2025,45,Alim Dağhan Cd. İle 6716 Sok. Kvs.,Alüminyum (Al),µg/L,14.77,200
13.08.2025,45,Alim Dağhan Cd. İle 6716 Sok. Kvs.,Renk, ,0,Tüketicilerce Kabul Edilebilir
13.08.2025,46,8172 Sok. No:90/1 Güzeltepe,C.perfringens,Sayı/100 ml,0,0
13.08.2025,46,8172 Sok. No:90/1 Güzeltepe,C.perfringens,Sayı/100 ml,0,0
13.08.2025,46,8172 Sok. No:90/1 Güzeltepe,Alüminyum (Al),µg/L,16.82,200
13.08.2025,46,8172 Sok. No:90/1 Güzeltepe,Toplam sertlik,Fr,30,---
13.08.2025,46,8172 Sok. No:90/1 Güzeltepe,Koku, ,0,Tüketicilerce Kabul Edilebilir
13.08.2025,46,8172 Sok. No:90/1 Güzeltepe,Koliform Bakteri, ,0,0
13.08.2025,46,8172 Sok. No:90/1 Güzeltepe,Koliform Bakteri, ,0,0
13.08.2025,46,8172 Sok. No:90/1 Güzeltepe,Tuzluluk,%0,0.1,---
13.08.2025,46,8172 Sok. No:90/1 Güzeltepe,Demir (Fe),µg/L,25.38,200
13.08.2025,46,8172 Sok. No:90/1 Güzeltepe,İletkenlik,µS/cm,733 (25 °C),2500
13.08.2025,46,8172 Sok. No:90/1 Güzeltepe,Klorür (Cl⁻),mg/L,38,250
13.08.2025,46,8172 Sok. No:90/1 Güzeltepe,Oksitlenebilirlik,mg/L O2,0.8,5
13.08.2025,46,8172 Sok. No:90/1 Güzeltepe,Renk, ,0,Tüketicilerce Kabul Edilebilir
13.08.2025,46,8172 Sok. No:90/1 Güzeltepe,Amonyum (NH₄⁺),mg/L,<0.06,"0,5"
13.08.2025,46,8172 Sok. No:90/1 Güzeltepe,Bulanıklık, ,0.3,Tüketicilerce Kabul Edilebilir
13.08.2025,46,8172 Sok. No:90/1 Güzeltepe,pH, ,7.5 (25 °C),"6,5-9,5"
13.08.2025,46,8172 Sok. No:90/1 Güzeltepe,E.coli,Sayı/100 ml,0,0
13.08.2025,46,8172 Sok. No:90/1 Güzeltepe,E.coli,Sayı/100 ml,0,0
13.08.2025,46,8172 Sok. No:90/1 Güzeltepe,Nitrit (NO₂),mg/L,<0.13,"0,5"
13.08.2025,46,8172 Sok. No:90/1 Güzeltepe,Arsenik (As),µg/L,4.11,10
13.08.2025,47,8809 Sok. No:141/A Evka-5,Klorür (Cl⁻),mg/L,39,250
13.08.2025,47,8809 Sok. No:141/A Evka-5,Arsenik (As),µg/L,3.84,10
13.08.2025,47,8809 Sok. No:141/A Evka-5,Amonyum (NH₄⁺),mg/L,<0.06,"0,5"
13.08.2025,47,8809 Sok. No:141/A Evka-5,İletkenlik,µS/cm,735 (25 °C),2500
13.08.2025,47,8809 Sok. No:141/A Evka-5,Koliform Bakteri, ,0,0
13.08.2025,47,8809 Sok. No:141/A Evka-5,Koliform Bakteri, ,0,0
13.08.2025,47,8809 Sok. No:141/A Evka-5,pH, ,7.6 (25 °C),"6,5-9,5"
13.08.2025,47,8809 Sok. No:141/A Evka-5,Toplam sertlik,Fr,31,---
13.08.2025,47,8809 Sok. No:141/A Evka-5,Nitrit (NO₂),mg/L,<0.13,"0,5"
13.08.2025,47,8809 Sok. No:141/A Evka-5,C.perfringens,Sayı/100 ml,0,0
13.08.2025,47,8809 Sok. No:141/A Evka-5,C.perfringens,Sayı/100 ml,0,0
13.08.2025,47,8809 Sok. No:141/A Evka-5,Oksitlenebilirlik,mg/L O2,0.8,5
13.08.2025,47,8809 Sok. No:141/A Evka-5,Koku, ,0,Tüketicilerce Kabul Edilebilir
13.08.2025,47,8809 Sok. No:141/A Evka-5,E.coli,Sayı/100 ml,0,0
13.08.2025,47,8809 Sok. No:141/A Evka-5,E.coli,Sayı/100 ml,0,0
13.08.2025,47,8809 Sok. No:141/A Evka-5,Alüminyum (Al),µg/L,20.48,200
13.08.2025,47,8809 Sok. No:141/A Evka-5,Bulanıklık, ,0.4,Tüketicilerce Kabul Edilebilir
13.08.2025,47,8809 Sok. No:141/A Evka-5,Tuzluluk,%0,0.1,---
13.08.2025,47,8809 Sok. No:141/A Evka-5,Demir (Fe),µg/L,33.78,200
13.08.2025,47,8809 Sok. No:141/A Evka-5,Renk, ,0,Tüketicilerce Kabul Edilebilir
13.08.2025,48,8818 Sok. No:38 6 Nolu Sağlık Ocağı Egekent,Toplam sertlik,Fr,31,---
13.08.2025,48,8818 Sok. No:38 6 Nolu Sağlık Ocağı Egekent,Nitrit (NO₂),mg/L,<0.13,"0,5"
13.08.2025,48,8818 Sok. No:38 6 Nolu Sağlık Ocağı Egekent,Alüminyum (Al),µg/L,14.46,200
13.08.2025,48,8818 Sok. No:38 6 Nolu Sağlık Ocağı Egekent,pH, ,7.6 (25 °C),"6,5-9,5"
13.08.2025,48,8818 Sok. No:38 6 Nolu Sağlık Ocağı Egekent,Tuzluluk,%0,0.1,---
13.08.2025,48,8818 Sok. No:38 6 Nolu Sağlık Ocağı Egekent,Klorür (Cl⁻),mg/L,27,250
13.08.2025,48,8818 Sok. No:38 6 Nolu Sağlık Ocağı Egekent,C.perfringens,Sayı/100 ml,0,0
13.08.2025,48,8818 Sok. No:38 6 Nolu Sağlık Ocağı Egekent,C.perfringens,Sayı/100 ml,0,0
13.08.2025,48,8818 Sok. No:38 6 Nolu Sağlık Ocağı Egekent,Bulanıklık, ,0.5,Tüketicilerce Kabul Edilebilir
13.08.2025,48,8818 Sok. No:38 6 Nolu Sağlık Ocağı Egekent,Koliform Bakteri, ,0,0
13.08.2025,48,8818 Sok. No:38 6 Nolu Sağlık Ocağı Egekent,Koliform Bakteri, ,0,0
13.08.2025,48,8818 Sok. No:38 6 Nolu Sağlık Ocağı Egekent,E.coli,Sayı/100 ml,0,0
13.08.2025,48,8818 Sok. No:38 6 Nolu Sağlık Ocağı Egekent,E.coli,Sayı/100 ml,0,0
13.08.2025,48,8818 Sok. No:38 6 Nolu Sağlık Ocağı Egekent,Koku, ,0,Tüketicilerce Kabul Edilebilir
13.08.2025,48,8818 Sok. No:38 6 Nolu Sağlık Ocağı Egekent,Demir (Fe),µg/L,38.52,200
13.08.2025,48,8818 Sok. No:38 6 Nolu Sağlık Ocağı Egekent,Arsenik (As),µg/L,4.30,10
13.08.2025,48,8818 Sok. No:38 6 Nolu Sağlık Ocağı Egekent,Renk, ,0,Tüketicilerce Kabul Edilebilir
13.08.2025,48,8818 Sok. No:38 6 Nolu Sağlık Ocağı Egekent,Amonyum (NH₄⁺),mg/L,<0.06,"0,5"
13.08.2025,48,8818 Sok. No:38 6 Nolu Sağlık Ocağı Egekent,İletkenlik,µS/cm,672 (25 °C),2500
13.08.2025,48,8818 Sok. No:38 6 Nolu Sağlık Ocağı Egekent,Oksitlenebilirlik,mg/L O2,0.4,5
13.08.2025,49,1643/7 Sok. No:8 Adalet Mah.,Bulanıklık, ,0.4,Tüketicilerce Kabul Edilebilir
13.08.2025,49,1643/7 Sok. No:8 Adalet Mah.,İletkenlik,µS/cm,673 (25 °C),2500
13.08.2025,49,1643/7 Sok. No:8 Adalet Mah.,Tuzluluk,%0,0.1,---
13.08.2025,49,1643/7 Sok. No:8 Adalet Mah.,Klorür (Cl⁻),mg/L,27,250
13.08.2025,49,1643/7 Sok. No:8 Adalet Mah.,Amonyum (NH₄⁺),mg/L,<0.06,"0,5"
13.08.2025,49,1643/7 Sok. No:8 Adalet Mah.,C.perfringens,Sayı/100 ml,0,0
13.08.2025,49,1643/7 Sok. No:8 Adalet Mah.,C.perfringens,Sayı/100 ml,0,0
13.08.2025,49,1643/7 Sok. No:8 Adalet Mah.,E.coli,Sayı/100 ml,0,0
13.08.2025,49,1643/7 Sok. No:8 Adalet Mah.,E.coli,Sayı/100 ml,0,0
13.08.2025,49,1643/7 Sok. No:8 Adalet Mah.,Renk, ,0,Tüketicilerce Kabul Edilebilir
13.08.2025,49,1643/7 Sok. No:8 Adalet Mah.,Koliform Bakteri, ,0,0
13.08.2025,49,1643/7 Sok. No:8 Adalet Mah.,Koliform Bakteri, ,0,0
13.08.2025,49,1643/7 Sok. No:8 Adalet Mah.,Nitrit (NO₂),mg/L,<0.13,"0,5"
13.08.2025,49,1643/7 Sok. No:8 Adalet Mah.,Koku, ,0,Tüketicilerce Kabul Edilebilir
13.08.2025,49,1643/7 Sok. No:8 Adalet Mah.,pH, ,7.6 (25 °C),"6,5-9,5"
13.08.2025,49,1643/7 Sok. No:8 Adalet Mah.,Demir (Fe),µg/L,35.68,200
13.08.2025,49,1643/7 Sok. No:8 Adalet Mah.,Arsenik (As),µg/L,4.10,10
13.08.2025,49,1643/7 Sok. No:8 Adalet Mah.,Toplam sertlik,Fr,31,---
13.08.2025,49,1643/7 Sok. No:8 Adalet Mah.,Oksitlenebilirlik,mg/L O2,0.4,5
13.08.2025,49,1643/7 Sok. No:8 Adalet Mah.,Alüminyum (Al),µg/L,13.94,200
